,date,text
0,2022-07-08 00:07:17+00:00,"The type of regulation the end of this bull run will bring could be catastrophic for Americans 

#bitcoin does not fix this 

Human action does"
1,2022-07-08 00:35:05+00:00,Shrimps are buying. Whales are buying. Countries are buying. …..are you buying? Check out @HardMoneyShow with @natbru…
2,2022-07-08 00:35:28+00:00,"Watch now or watch later, we're streaming @HardMoneyShow show LIVE! -#Bitcoin headlines - Updates on FTX, Voyager, Blockfi…"
3,2022-07-08 01:02:04+00:00,Where should I do my interview with @saylor when #Bitcoin hits $100k. Comment below.
4,2022-07-08 05:08:28+00:00,Since when the @nytimes has devoted so much time and space to El Salvador’s economic initiatives? It’s clear they’re afra…
5,2022-07-08 05:10:13+00:00,".@Excellion, JAN3 CEO, and @criptobastardo chatting about the process of nation-state #Bitcoin adoption, #hyperbitcoinization,…"
6,2022-07-08 05:10:36+00:00,".@Excellion, JAN3 CEO, has debunked a Pentagon-backed report which called into question the decentralization and security of t…"
7,2022-07-08 09:24:46+00:00,🔥New article with my personal story🔥: From Greenpeace direct action to Bitcoin mining promoter. Actions different. Values sa…
8,2022-07-08 11:34:14+00:00,"If you were hurt by @CelsiusNetwork and had 6 figures or less in damages, next week I’m going to have a way for you to join the fight in recovering your Monday. 

My fight against them is almost buttoned up so now it’s time to help everyone.

#crypto #bitcoin #celsius $btc"
9,2022-07-08 12:36:21+00:00,Life is easier if you just #bitcoin.
10,2022-07-08 12:49:39+00:00,Isn’t it fun how #bitcoin could drop to 10k but could also pump to 40k and you just don’t know which way it’s going firs…
11,2022-07-08 15:25:41+00:00,"""Mind games: #Bitcoin education at an escape room in Lebanon."" https://t.co/t8c4aqTpkS via @cointelegraph https://t.co/eBLtXPeOzF"
12,2022-07-08 15:37:48+00:00,"In #bitcoin we use a lot of financial jargon so here are 3 important terms you need to know:

1. The Fed
2. Quantitative Easing
3. Quantitative Tightening. 

Full explainer with @exodus_io: https://t.co/DeCD0puNeq https://t.co/GnqnjzX9wU"
13,2022-07-08 15:59:55+00:00,"This week's HARD MONEY with @natbrunell is live! Topics this week included: - Updates on FTX, Voyager, Blockfi, @PeterS…"
14,2022-07-08 16:02:16+00:00,"So excited to hear the #Bitcoin Conference will be back in Miami next year!! @paulapendleyLAW and I are ready! 🌴

Use code HODL for 10% off before prices go up! https://t.co/04mkkOaPzt https://t.co/KMbc5Tl4np"
15,2022-07-08 16:03:22+00:00,Keeping up with #crypto and #Bitcoin news can be challenging. @HardMoneyShow and @natbrunell make it easy by cutting th…
16,2022-07-08 16:54:46+00:00,"1/ @HardMoneyShow with @natbrunell is a big step up for #Bitcoin content. #thread

The response so far has been incredible, and I want to share some of what goes on behind the scenes and shine a light on all the people who are making it possible. https://t.co/4Y2jtM5Rb0"
17,2022-07-08 16:55:08+00:00,"10/ You need a story producer, someone who can work with editors, understands narrative writing, and in our case, someone who understands #Bitcoin. This was a tough hire. We had a number of great candidates, but @RowdyNightrain was our guy. If you watch the show, you know why… https://t.co/URtdgfKzPo"
18,2022-07-08 16:55:36+00:00,"1/ @HardMoneyShow with @natbrunell is a big step up for #Bitcoin content. #thread The response so far has been incredible, and…"
19,2022-07-08 16:59:41+00:00,"#Bitcoin Breaks $21k &amp; is at Critical Resistance
https://t.co/3V0PUqPHWr"
20,2022-07-08 17:06:08+00:00,.@cz_binance is it you buying up millions of dollars worth of #bitcoin? 👀
21,2022-07-08 17:44:08+00:00,The #Bitcoin Tour was featured on @HardMoneyShow with @natbrunell ! Thank you to the team at @SwanBitcoin - @BVBTC @con…
22,2022-07-08 18:21:53+00:00,"Is #Bitcoin dead?
@LynAldenContact: ""I think it's sleeping.""

Don't miss my full interview with Lyn on #BTC and #macro on @HardMoneyShow:

WATCH: https://t.co/OGQb7boZeI https://t.co/4esoJzy42e"
23,2022-07-08 18:31:08+00:00,"#Bitcoin is about freedom and self-sovereignty, not about asking for permission. It is about independence and verifiable truth; extreme ownership and responsibility; hope and human rights. - @dergigi
https://t.co/ZHjXx4gg7e"
24,2022-07-08 18:59:38+00:00,"Is #Bitcoin dead? @LynAldenContact: ""I think it's sleeping."" Don't miss my full interview with Lyn on #BTC and #macro on @…"
25,2022-07-08 20:04:20+00:00,"CEO of @JAN3com, @Excellion, explains that a 51% attack on #Bitcoin is nothing more than fear mongering. #BTC #ProofOfWork https…"
26,2022-07-08 20:10:47+00:00,Lunch in Panama with @monicataher and @JAN3com to talk about #Bitcoin in El Salvador! 🇸🇻 https://t.co/hqEzp4j7yE
27,2022-07-08 20:12:44+00:00,"On August 11, 2020, @MicroStrategy embarked on its #Bitcoin Strategy, acquiring 21,454 bitcoins at an aggregate purchase price of $250 million.

Performance since that time of BTC is +83%, $MSTR is +79%, S&amp;P is +16%, Nasdaq is +6%, Gold is -14%, Bonds is -16%, and Silver is -33%."
28,2022-07-08 20:18:54+00:00,Good evening California Good morning U.K. Good afternoon Hong Kong It’s Friday!!! And another speaker announcement to…
29,2022-07-08 20:33:46+00:00,hey 👋 @Excellion Ethiopia 🇪🇹 seems quite ready to take some significant steps with #Bitcoin if you aren't already helping o…
30,2022-07-08 20:53:18+00:00,"#Bitcoin &amp; ESG with @thetrocro on Coin Stories

A fascinating talk about:
- #BTC energy use, environmental impact
- PoW vs PoS
- Carbon-neutral mining
- Bitcoin as a protest vote &amp; rebellion from an unjust system.

WATCH: https://t.co/XlGbZaln4E
AUDIO: https://t.co/3g6UtTSXgD https://t.co/IvkVjQ07Ht"
31,2022-07-08 21:03:51+00:00,Guatemala nation wide #bitcoin adoption is just a matter of time... @Excellion @joangodoym @jfonseca81 https://t.co/9…
32,2022-07-08 21:10:19+00:00,#Bitcoin Maximalists in Panama. Group is getting smaller and less relevant. 😂 #BSLPANAMA2022 🇵🇦 https://t.co/pIyo5fgxm7
33,2022-07-08 21:16:09+00:00,"1/ @HardMoneyShow with @natbrunell is a big step up for #Bitcoin content. #thread The response so far has been incredible, and…"
34,2022-07-08 21:24:36+00:00,"When I tell you this whole team puts their heart in what they do, create this content for YOU guys, and always strive to…"
35,2022-07-15 00:34:11+00:00,"Don't miss our latest episode of @HardMoneyShow featuring #macro math with @FossGregfoss, a look at #Bitcoin adoption in El Salvador with an exclusive interview with @MilenaMayorga plus updates on #Celsius, #Voyager, and more!

WATCH:
https://t.co/MAKbtZEtle"
36,2022-07-15 01:54:14+00:00,"This week's HARD MONEY with @natbrunell Topics this week included: - #inflation, The Fed, @CelsiusNetwork - Exclusive…"
37,2022-07-15 01:56:24+00:00,"You never actually own a #bitcoin . 

You merely look after it for the next generation. https://t.co/z35xx375V0"
38,2022-07-15 04:35:07+00:00,"They were late to tighten.
They will be late to ease.

Many will be even later to #Bitcoin"
39,2022-07-15 12:18:40+00:00,#Crypto is for mercenaries. #Bitcoin is for missionaries.
40,2022-07-15 13:57:32+00:00,"I had the chance to speak with former German Chancellor Gerhard Schröder about #Bitcoin, Lightning, and CBDCs. ⚡️ https://t.co/blKX8lipP1"
41,2022-07-15 14:45:13+00:00,Thinking you’re late to #Bitcoin is like thinking you’re late to the internet in January 1998.
42,2022-07-15 15:40:19+00:00,".@Excellion, JAN3 CEO, explains in the fireside chat with @criptobastardo on the @BlockSummitLA Panama stage why it is better…"
43,2022-07-15 15:43:45+00:00,#Bitcoin can help Latin America and the Global South to overcome historic isolation from the financial system and bring pros…
44,2022-07-15 15:47:20+00:00,"#Bitcoin Law Review - @CelsiusNetwork Bankruptcy, @Ripple $XRP vs @SEC_Enforcement, @solana Class Action for being a Security &amp; bZx's Case claiming all DAO Members are Liable w/ @FJasonSeibert @dcsilver @GordonEinstein &amp; Special Guest @SimonDixonTwitt
https://t.co/ugj5FBgBD5"
45,2022-07-15 16:42:50+00:00,"Don't miss our latest episode of @HardMoneyShow featuring #macro math with @FossGregfoss, a look at #Bitcoin adoption in El…"
46,2022-07-15 17:08:37+00:00,"I do not approve of projects/people issuing multiple coins, especially if the first one hasn't worked out.

For me, I am spending all my efforts on #BNB. And shill #Bitcoin from time to time, when I am too shy to explicitly shill #BNB)."
47,2022-07-15 17:11:50+00:00,"Join us Tuesday July 19 at 5pm EDT for our Q2 briefing on the State of the #Bitcoin Mining Industry. We will share our latest results on energy usage, efficiency, &amp; sustainability, along with updates on technology advances &amp; energy grid support successes.
https://t.co/uh7DFCnn3x https://t.co/JdiVT84aJD"
48,2022-07-15 17:22:31+00:00,"You won't find MSM outlets covering #Bitcoin and global economics the way @HardMoneyShow is doing it.

Watch our special report on #BTC adoption in El Salvador where we met with @MilenaMayorga and local merchants. Plus, @nayibbukele reacts to a NYT op-ed.

https://t.co/WHYAALHAnC https://t.co/ZrwOmYOCOC"
49,2022-07-15 17:48:21+00:00,You won't find MSM outlets covering #Bitcoin and global economics the way @HardMoneyShow is doing it. Watch our special re…
50,2022-07-15 19:20:21+00:00,I am a #Bitcoin
51,2022-07-15 22:34:04+00:00,I was recently interviewed by @hardmoneyshow to discuss El Salvador’s new model of #economicfreedom under the #bitcoin s…
52,2022-07-15 23:11:36+00:00,I was recently interviewed by @hardmoneyshow to discuss El Salvador’s new model of #economicfreedom under the #bitcoin s…
53,2022-07-11 01:19:06+00:00,"""We shouldn't confuse energy use with emissions...
We produce a lot of power that no one uses.""
-@thetrocro 

Our talk on #Bitcoin energy use, environmental impact, PoW, PoS, &amp; much more. Thanks for the great feedback!

VIDEO: https://t.co/Kwzpg6piIT

POD: https://t.co/3g6UtTSXgD https://t.co/xe5iyLYw8F"
54,2022-07-11 06:20:59+00:00,The world needs #bitcoin. https://t.co/396JPQm4Ju
55,2022-07-11 12:03:42+00:00,Bullish on #Bitcoin
56,2022-07-11 13:08:40+00:00,"GM

if you are feeling down today bc of #Bitcoin price action just remember it could be worse, your name could be Bunter Hiden"
57,2022-07-11 13:33:44+00:00,Bullish on #Bitcoin
58,2022-07-11 13:57:33+00:00,"The euro and dollar are about to be at parity, 1 to 1.

This hasn't happened in 20 years, and shows that the euro has declined roughly 20% since this time last year 🤯

Another sign that the world is hungry for dollar liquidity as the FED tightens monetary policy.

#bitcoin https://t.co/vXOuiN2kWm"
59,2022-07-11 14:01:42+00:00,"#Bitcoin Rejected at Horizontal Channel Top
https://t.co/lw4Gky3Lrk"
60,2022-07-11 14:19:43+00:00,"""We shouldn't confuse energy use with emissions... We produce a lot of power that no one uses."" -@thetrocro Our talk on #…"
61,2022-07-11 15:39:14+00:00,#Bitcoin is the most inclusive monetary system in history.
62,2022-07-11 15:50:52+00:00,"Will #Bitcoin lead to financial instability?

Or, will it finally lead us *out* of financial instability?"
63,2022-07-11 16:38:25+00:00,Explaining the difference between #bitcoin and other digital assets on ABC News. https://t.co/NqE2wOrWlQ
64,2022-07-11 17:25:54+00:00,4 new #Bitcoin Satoshi paintings added to my website ⁦@YungGucciT⁩ ⁦@13flr_escalator⁩ ⁦@scarcedotcity⁩ ⁦@ODELL⁩ ⁦@BVBT…
65,2022-07-11 21:37:53+00:00,"Fun fact: The person who created the #Bitcoin logo went by the name BitBoy. 

1. That is not me
2. I found this out well after I named the channel"
66,2022-07-11 21:51:50+00:00,"#114: Reflections on the Cypherpunk Movement, Inventing Hashcash, #Bitcoin &amp; Satoshi with @adam3us In this very speci…"
67,2022-07-11 22:36:31+00:00,💥JUST IN: 🇨🇭Swiss Post Office to offer #Bitcoin trading and custody services by 2024! 🙌
68,2022-07-09 06:13:05+00:00,have you heard about #Bitcoin?
69,2022-07-09 06:22:46+00:00,“Anyone claiming to be Satoshi has broken the first rule of being Satoshi. #Bitcoin” -@Excellion
70,2022-07-09 09:26:02+00:00,"Whether you missed @adam3us speech in Zurich, or want to rewatch it, check out this video on #Bitcoin blockchain technology…"
71,2022-07-09 12:41:01+00:00,I’ll be on ABC News in 1 hour talking #bitcoin tune in!
72,2022-07-09 14:11:12+00:00,"#Bitcoin is up more than 400% since the March 2020 crash. 

It's crashed to the highs of the previous bull market.

I still don't know why people are complaining..."
73,2022-07-09 14:25:31+00:00,"Could $17k be the bottom - yes
Could #bitcoin go lower - yes 
Do I have bids sub $17k - yes 

Do I care about your opinion of me or my trading plan 

NO"
74,2022-07-09 15:20:49+00:00,The more people tell me I’m crazy for believing in #bitcoin the stronger my conviction grows.
75,2022-07-09 16:03:07+00:00,"There are songs, there are memes, and now there is merch! #bitcoin https://t.co/0oTJk9nkub https://t.co/aPmrAgu3HS"
76,2022-07-09 16:03:26+00:00,News moves fast in #Bitcoin Get caught up on the biggest stories of the week in under 3 minutes ☕️☀️ https://t.co/LZA1h4Dgca
77,2022-07-09 16:08:05+00:00,Mood #bitcoin https://t.co/SBfvqtbCQD
78,2022-07-09 21:21:15+00:00,"With the blocking, unfollowing, and gaslighting of people, I had to do...what I do. My Star Will Continue To Rise... #bit…"
79,2022-07-09 21:25:11+00:00,"#Bitcoin Holding Up Well at Top of Range!
https://t.co/QV7Ij1kW3C"
80,2022-07-09 21:34:33+00:00,"Hi guys, after stressful days peppered with lots of preparations regarding print testing, bureaucracy and website setu…"
81,2022-07-16 01:36:16+00:00,You won't find MSM outlets covering #Bitcoin and global economics the way @HardMoneyShow is doing it. Watch our special re…
82,2022-07-16 08:36:45+00:00,Necessity is the mother of #Bitcoin adoption.
83,2022-07-16 08:41:02+00:00,".@RevistaMartesF covered news on JAN3 CEO, @Excellion, at the @BlockSummitLA in Panama. ""Panamanians could for example use #B…"
84,2022-07-16 12:09:56+00:00,"On August 11, 2020, @MicroStrategy embarked on its #Bitcoin Strategy, acquiring 21,454 bitcoins at an aggregate purchase price of $250 million.

Performance since that time: $MSTR is +73%, GOOG is +51%, AAPL is +33%, MSFT is +23%, AMZN is -27%, META is -37%, NFLX is -61%."
85,2022-07-16 14:28:37+00:00,"The debate of #Bitcoin vs $GOLD is out, thanks @capitalcom for setting up this discussion w/ @PeterSchiff! MUST WATCH 👇
https://t.co/hnZ9z67kus"
86,2022-07-16 14:42:43+00:00,"Is #Bitcoin Finally Decupling from Stocks!
https://t.co/EzCXL2d5Gn"
87,2022-07-16 15:26:37+00:00,"#Bitcoin is the separation of money and state.

This is the way."
88,2022-07-16 16:11:02+00:00,"A year ago today I had a few thousand followers, a relatively unknown podcast about my passion, #Bitcoin, and a corporate news job.

So much can happen in just a year!!

If you have an idea, a yearning for something, go for it. Make it happen! You won’t know until you try."
89,2022-07-16 16:15:47+00:00,"This is why you don't short an oversold market...

The market will catch you off guard when you least expect it!

#bitcoin https://t.co/1IqqlY08Dv"
90,2022-07-16 18:25:45+00:00,"Mosquito attack? No biggie... @CryptoWendyO will live stream from a hospital bed if she has to!🦟🦟 #XRP vs #SEC, #Coinbase…"
91,2022-07-16 21:35:02+00:00,"We are a little more than a month away from #BitBlockBoom in Austin, Texas! Don’t forget to get your tickets! 

Can’t wait to see some of my favorite #Bitcoin voices there! @GaryLeland @kailybuemi @bitblockboom 

https://t.co/1zrsLFe6KJ"
